n02106662   德国牧羊犬
n02124075   埃及猫
n02281787	灰蝶
n02389026	马
n02492035	卷尾猴
n02504458	亚洲象
n02510455	大熊猫
n02607072	小丑鱼
n02690373	客机
n02906734	扫帚
n02951358	独木舟
n02992529	移动电话
n03063599	咖啡杯
n03100240	敞篷车
n03180011	台式电脑
n03197337	数码表
n03272010	电吉他
n03272562	电力火车
n03297495	浓缩咖啡机
n03376595	折叠椅
n03445777	高尔夫球
n03452741	三角钢琴
n03584829	熨斗
n03590841	南瓜灯
n03709823	邮袋
n03773504	导弹
n03775071	连指手套
n03792782	山地自行车
n03792972	露营帐篷
n03877472	睡衣
n03888257	降落伞
n03982430	台球桌
n04044716	射电望远镜
n04069434	反光相机
n04086273	左轮手枪
n04120489	运动鞋
n07753592	香蕉
n07873807	披萨
n11939491	雏菊
n13054560	牛肝菌 
